id,offense,secondsLeftInGame,scoreDifferential,yardsToGoal,distanceToFirstDown,isWentForIt,wasSuccess,likelihood,rawRate,smoothedRate,sampleSize,meetsMinSample,blockKey,playText
"332782633075","Georgia",2210,7,39,4,true,true,0.4805,0.5246,0.4805,183,true,"Ahead 6-8 | H1 Mid | YTG 31-40 | Dist 3-5","Aaron Murray pass complete to Chris Conley for 24 yards to the Tenn 15 for a 1ST down."
"272720061284","Georgia",101,28,16,4,true,true,0.4698,0.5323,0.4698,124,true,"Ahead 15+ | H2 Final 4 | YTG 11-20 | Dist 3-5","Kalvin Daniels rush for 9 yards to the Miss 7 for a 1ST down."
"303652116237","Georgia",95,-4,78,8,true,true,0.4599,0.6667,0.4599,36,true,"Behind 3-5 | H2 Final 4 | YTG 71-80 | Dist 6-8","Aaron Murray pass complete to A.J. Green for 14 yards to the Geo 36 for a 1ST down."
"332430228046","Georgia",3105,-7,33,4,true,true,0.4445,0.4733,0.4445,243,true,"Behind 6-8 | H1 Early | YTG 31-40 | Dist 3-5","Aaron Murray pass complete to Justin Scott-Wesley for 11 yards to the Clem 22 for a 1ST down."
"400933831103976601","Georgia",1053,24,37,4,true,true,0.4429,0.4713,0.4429,244,true,"Ahead 15+ | H2 Early | YTG 31-40 | Dist 3-5","Jake Fromm pass complete to Javon Wims for 22 yds to the AppSt 15 for a 1ST down"
"332500061215","Georgia",146,11,32,2,true,true,0.4392,0.6667,0.4392,30,true,"Ahead 9-14 | H2 Final 4 | YTG 31-40 | Dist 2","Todd Gurley rush for 5 yards to the SCaro 27 for a 1ST down."
"400603931101987003","Georgia",2789,-7,36,4,true,true,0.4388,0.4726,0.4388,201,true,"Behind 6-8 | H1 Mid | YTG 31-40 | Dist 3-5","Greyson Lambert pass complete to Malcolm Mitchell for 5 yds to the Aub 31 for a 1ST down"
"401628339103887906","Georgia",1580,38,60,1,true,true,0.4385,0.4889,0.4385,135,true,"Ahead 15+ | H2 Early | YTG 51-60 | Dist 1","Gunner Stockton run for 1 yd to the UGA 41 for a 1ST down"
"401752669103964801","Georgia",1131,38,2,2,true,true,0.4378,0.4957,0.4378,117,true,"Ahead 15+ | H2 Early | YTG 1-10 | Dist 2","Gunner Stockton pass complete to London Humphreys for 2 yds for a TD (Peyton Woodring KICK)"
"273070061113","Georgia",2328,0,54,1,true,true,0.4369,0.4957,0.4369,115,true,"Tied | H1 Mid | YTG 51-60 | Dist 1","Knowshon Moreno rush for 4 yards to the 50 yard line for a 1ST down."
"272580061044","Georgia",2780,0,56,1,true,true,0.4369,0.4957,0.4369,115,true,"Tied | H1 Mid | YTG 51-60 | Dist 1","Brannan Southerland rush for 2 yards to the Geo 46 for a 1ST down."
"401012334102997801","Georgia",1821,10,38,3,true,true,0.4245,0.5345,0.4245,58,true,"Ahead 9-14 | H1 Final 4 | YTG 31-40 | Dist 3-5","Terry Godwin 38 Yd pass from Jake Fromm (Rodrigo Blankenship Kick)"
"401282136101946601","Georgia",3033,14,32,5,true,true,0.4180,0.5556,0.4180,45,true,"Ahead 9-14 | H1 Early | YTG 31-40 | Dist 3-5","Stetson Bennett pass complete to Kenny McIntosh for 32 yds for a TD, (Jack Podlesny KICK)"
"2426200610509","Georgia",3091,-3,17,1,true,true,0.4134,0.5610,0.4134,41,true,"Behind 3-5 | H1 Early | YTG 11-20 | Dist 1","Michael Cooper (GA) rushed up the middle for 2 yards."
"400548385104888401","Georgia",675,52,15,2,true,true,0.4113,0.4673,0.4113,107,true,"Ahead 15+ | H2 Mid | YTG 11-20 | Dist 2","Brendan Douglas run for 8 yds to the Troy 7 for a 1ST down"
"401628381103934401","Georgia",1315,4,55,1,true,true,0.4105,0.5082,0.4105,61,true,"Ahead 3-5 | H2 Early | YTG 51-60 | Dist 1","Carson Beck run for 1 yd to the UGA 46 for a 1ST down"
"401442010104899101","Georgia",608,45,24,5,true,true,0.4093,0.4251,0.4093,374,true,"Ahead 15+ | H2 Mid | YTG 21-30 | Dist 3-5","Carson Beck pass complete to Dillon Bell for 11 yds to the TCU 13 for a 1ST down"
