blockKey,total,went,rate,smoothedRate,meetsMinSample
"Ahead 15+ | H2 Early | YTG 51-60 | Dist 6-8",232,9,0.0388,0.0586,true
"Behind 15+ | H2 Mid | YTG 81-90 | Dist 11-14",232,19,0.0819,0.0968,true
"Behind 15+ | H2 Early | YTG 51-60 | Dist 11-14",231,11,0.0476,0.0665,true
"Tied | H1 Mid | YTG 51-60 | Dist 6-8",230,8,0.0348,0.0552,true
"Behind 9-14 | H1 Mid | YTG 71-80 | Dist 11-14",230,1,0.0043,0.0283,true
"Behind 3-5 | H1 Mid | YTG 71-80 | Dist 6-8",228,3,0.0132,0.0363,true
"Behind 15+ | H2 Early | YTG 61-70 | Dist 15-20",227,7,0.0308,0.0520,true
"Behind 9-14 | H2 Early | YTG 51-60 | Dist 6-8",227,10,0.0441,0.0636,true
"Behind 6-8 | H1 Early | YTG 81-90 | Dist 15-20",226,2,0.0088,0.0326,true
"Behind 3-5 | H1 Mid | YTG 61-70 | Dist 3-5",225,13,0.0578,0.0759,true
"Tied | H1 Early | YTG 81-90 | Dist 9-10",223,2,0.0090,0.0330,true
"Behind 9-14 | H2 Early | YTG 51-60 | Dist 3-5",223,28,0.1256,0.1358,true
"Tied | H1 Early | YTG 21-30 | Dist 11-14",222,17,0.0766,0.0927,true
"Ahead 15+ | H2 Early | YTG 11-20 | Dist 3-5",222,23,0.1036,0.1165,true
"Behind 6-8 | H1 Early | YTG 61-70 | Dist 9-10",222,9,0.0405,0.0609,true
"Ahead 3-5 | H1 Early | YTG 11-20 | Dist 9-10",221,0,0.0000,0.0253,true
"Behind 6-8 | H1 Early | YTG 31-40 | Dist 6-8",221,77,0.3484,0.3321,true
"Behind 6-8 | H1 Mid | YTG 51-60 | Dist 3-5",221,16,0.0724,0.0891,true
"Behind 15+ | H2 Mid | YTG 41-50 | Dist 11-14",221,76,0.3439,0.3281,true
"Behind 9-14 | H1 Mid | YTG 41-50 | Dist 3-5",220,49,0.2227,0.2214,true
"Behind 6-8 | H1 Early | YTG 61-70 | Dist 11-14",220,4,0.0182,0.0414,true
"Behind 6-8 | H1 Mid | YTG 41-50 | Dist 6-8",220,10,0.0455,0.0654,true
"Behind 9-14 | H1 Early | YTG 71-80 | Dist 6-8",219,3,0.0137,0.0376,true
"Behind 15+ | H2 Mid | YTG 31-40 | Dist 9-10",219,133,0.6073,0.5597,true
"Behind 3-5 | H1 Mid | YTG 51-60 | Dist 3-5",218,15,0.0688,0.0861,true
